id,type,policyId,senderId,recipientId,subject,body,isRead,isArchived,dateSent
996cc6d7-b0f1-4764-856d-1784e4ca6876,news,,8101d07b-b050-48f4-ad94-7811026503ac,81a84cd0-739d-491a-adfe-f007b518a7d3,Not contain really.,List defense degree gas store bar. Major history whatever everyone. Himself them day sort.,False,True,2025-02-25T06:52:37
fde0d0f8-6cdc-48e3-9551-2e572d6a6a6e,claims,,c58251fc-6666-424f-a5a4-2dabe0cc101d,0925bdc3-854d-41b0-8034-972a5320fafe,Show ever because deal.,Leader subject maybe doctor play main fear. Blood meet any draw. Fine new treat explain cover maintain religious voice. Enjoy front free environment threat girl. Anything rock parent dinner. Like poor yet size.,True,True,2025-03-24T10:15:49
75d6c4e2-f97c-4622-ba8d-ccbc42cd9a08,policy,d6880e2f-6fbd-4ef6-a32d-6280c5279f93,fbe0dc99-25b7-4e37-9989-3b7ea5c9d19f,37d81f42-6820-4481-b72a-6c91f41313f9,Few care future participant forget anything series maintain.,Book movement rise million its sit. Only economic until couple for anyone local. Always know success who third area. Personal lawyer finish one than large.,False,True,2024-07-31T12:59:43
ea7d9ea2-c628-4218-867a-9ef517567ea2,claims,,82c06f86-7edd-4358-946b-d4d271c4fba3,53fbb47a-b83e-440f-913a-5899ace00edf,Mention audience training it wife.,Least box contain contain always. Draw born fish past. Analysis firm company time score believe since. East return peace heart total sort. Get apply treat low experience lose.,False,False,2025-02-04T07:04:33
2ad91e90-088f-41a4-a45f-2b1e0be92e93,claims,,0925bdc3-854d-41b0-8034-972a5320fafe,fbe0dc99-25b7-4e37-9989-3b7ea5c9d19f,Important candidate local foreign letter share.,Team ground person final myself. Art start very type building ten. Might practice style design. Field debate true camera. Receive game experience do focus.,True,False,2024-05-14T14:45:46
eae4f6c1-0b5f-4f24-a385-8632e846d646,claims,,37d81f42-6820-4481-b72a-6c91f41313f9,4006eb05-2125-49f2-a5c5-71c152933c9e,Wrong black politics almost card end.,Well enjoy beautiful discussion significant employee. Several enter off step drug similar cover. Activity rate nearly force participant enter.,True,False,2024-04-12T15:56:01
c7adec1e-609d-470d-ab97-4059723e3525,news,,37d81f42-6820-4481-b72a-6c91f41313f9,9db5f6ec-be86-48d8-9148-65a8193e2ca6,Eight majority have ball continue measure meeting.,Data glass bad mouth might then. Center take rest. Development recently yet doctor most. Democratic check win quality describe pressure happy forward.,False,False,2024-08-06T08:31:40
8ba7842c-85b2-4bc8-a397-dee7bb6ce7e8,policy,9438d48e-9d91-4a97-878d-b65ea692d4cb,e78932bd-c274-4072-a3e1-de893871339f,37d81f42-6820-4481-b72a-6c91f41313f9,Television sport pattern simply radio any.,Reflect offer deep result. Market record according word current number item. Consumer beat wife including.,True,True,2024-06-18T14:35:23
aca87640-0497-4d48-bea7-e62bf3dab3b1,policy,3f67be67-6882-449f-97a0-d86606b148d4,e14cf4f4-637a-4a21-97e3-04fc0c121118,37d81f42-6820-4481-b72a-6c91f41313f9,Professor specific reduce thank blood information east.,Meet husband military its relate. Perhaps listen would fast allow appear physical six. Few behind want instead far kitchen station. Rich moment where six attack. Into finish drug owner. Government technology man another.,True,True,2024-05-12T13:15:17
b8f896ce-6a6d-4cdf-b5b0-b05e29b70ae7,news,,9db5f6ec-be86-48d8-9148-65a8193e2ca6,e78932bd-c274-4072-a3e1-de893871339f,Sense case plan news.,Car blue career federal center feel blue. Magazine seek tonight color particularly although beat cell. General court more window maintain eight each.,False,True,2024-07-14T10:00:16
21b58a85-5588-4b15-8106-6f0779b70bfb,policy,a946306a-e805-41c7-9ce7-c127d55cb896,3e686e2c-b486-4a30-8d2e-fdab42dc4bb5,0925bdc3-854d-41b0-8034-972a5320fafe,Both my will dream.,Natural network time black brother really development left. Father among send relate fine card mind way. Finally address price everyone sport. Above worker officer stay base conference just. Style marriage someone call yet star amount.,False,False,2025-03-07T21:30:43
127f24e7-16d6-403b-9876-4235713b45fe,news,,3e686e2c-b486-4a30-8d2e-fdab42dc4bb5,82c06f86-7edd-4358-946b-d4d271c4fba3,Operation analysis get anyone now try some three.,Science teacher image view address trial treat. Employee I name. Yeah kind worker let.,False,True,2024-04-10T05:36:29
5b871a58-f31b-47df-b59d-ad6fdaf10a43,policy,09f53765-b206-4770-9459-f851381381e3,c58251fc-6666-424f-a5a4-2dabe0cc101d,4006eb05-2125-49f2-a5c5-71c152933c9e,Against strong impact while sure leader.,Nice girl economy month standard. Unit force part standard now property try. Spring safe memory medical sense. Use travel fly there.,False,True,2024-04-24T00:28:53
22f9b5ca-006d-4ead-93cd-f8ce4e3b9ef0,news,,fbe0dc99-25b7-4e37-9989-3b7ea5c9d19f,9db5f6ec-be86-48d8-9148-65a8193e2ca6,Movie window drop good box hour.,Anything then some ask drive. Identify apply list door. Fine above space subject cell.,False,True,2024-04-20T04:36:51
185c48b2-86c6-474f-a301-31ae34d52118,news,,53fbb47a-b83e-440f-913a-5899ace00edf,8101d07b-b050-48f4-ad94-7811026503ac,Throw tree impact country you.,Large huge main together. Believe yard many right occur want. Teach bed nation. Nearly realize three purpose music evidence. Late talk claim. Structure company past they build decade create.,False,True,2024-05-14T02:46:47
